date,opponent,venue,result,goals_for,goals_against
2025-02-07,Ualbany,,W,21,9
2025-02-18,Cornell,,W,18,10
2025-02-22,North Carolina,Away,L,8,16
2025-02-25,Northwestern,,L,8,12
2025-03-01,Clemson,,L,8,9
2025-03-07,Stanford,,W,13,14
2025-03-10,Johns Hopkins,,L,13,14
2025-03-15,Pitt,Away,W,17,11
2025-03-19,Loyola,Away,W,14,12
2025-04-02,Yale Bulldogs,Away,L,10,13
2025-04-05,California,Away,W,18,6
2025-04-12,Virginia Tech,Away,L,11,14
2025-04-17,Boston College,,L,2,17
2025-04-22,Stanford,Home,L,10,15
2025-05-11,Yale Bulldogs,Away,L,8,9
